Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-04-14,"$74,498","$75,884","$74,062","$74,633","$74,090",-0.547,"$31,218,136,127",6.11,"$1,482,977,046,489",-0.610
2026-04-13,"$70,739","$74,807","$70,625","$72,679","$74,546",5.38,"$29,419,881,869",36.89,"$1,492,078,794,361",5.40
2026-04-12,"$73,062","$73,123","$70,618","$71,883","$70,728",-3.20,"$21,492,305,497",4.87,"$1,415,612,202,097",-3.19
2026-04-11,"$72,940","$73,719","$72,637","$73,088","$73,057",0.160,"$20,493,703,071",-15.42,"$1,462,191,867,005",0.127
2026-04-10,"$71,780","$73,358","$71,463","$72,391","$72,965",1.65,"$24,230,353,778",-1.10,"$1,460,334,172,649",1.64
2026-04-09,"$71,068","$72,871","$70,542","$71,568","$71,791",1.02,"$24,499,067,997",102.69,"$1,436,805,528,637",0.951
2026-04-08,"$71,936","$72,721","$70,880","$71,663","$71,116",-1.14,"$12,086,955,344",-11.48,"$1,423,263,331,230",-1.14
2026-04-07,"$68,831","$72,400","$67,798","$70,241","$71,935",4.51,"$13,654,525,047",27.82,"$1,439,625,543,278",4.49
2026-04-06,"$69,293","$70,225","$68,532","$69,224","$68,848",-0.642,"$10,682,266,995",76.26,"$1,377,814,297,508",-0.199
2026-04-05,"$67,291","$69,022","$66,633","$67,983","$68,987",2.52,"$6,060,568,753",48.08,"$1,380,563,772,241",2.51
2026-04-04,"$66,914","$67,472","$66,800","$67,121","$67,298",0.573,"$4,092,702,286",-30.61,"$1,346,721,470,647",0.542
2026-04-03,"$66,943","$67,235","$66,340","$66,863","$66,936",-0.00945,"$5,898,220,274",-43.25,"$1,339,467,704,589",0.0818
2026-04-02,"$68,086","$68,595","$65,790","$67,339","$66,883",-1.77,"$10,393,354,233",2.76,"$1,338,373,364,914",-1.81
2026-04-01,"$68,121","$69,189","$67,572","$68,250","$68,119",-0.00341,"$10,113,716,781",-19.50,"$1,363,069,244,631",-0.141
2026-03-31,"$66,703","$68,312","$66,025","$67,314","$68,217",2.27,"$12,564,184,691",15.72,"$1,364,993,568,906",2.28
2026-03-30,"$65,896","$67,979","$65,826","$66,600","$66,698",1.22,"$10,857,285,457",74.38,"$1,334,586,636,723",1.08
2026-03-29,"$66,341","$66,994","$65,237","$66,140","$65,987",-0.535,"$6,226,367,309",7.89,"$1,320,320,264,687",-0.515
2026-03-28,"$66,327","$67,181","$65,953","$66,448","$66,330",0.00529,"$5,771,186,600",-53.36,"$1,327,160,993,217",0.0355
2026-03-27,"$68,761","$69,073","$65,593","$67,437","$66,320",-3.55,"$12,372,850,954",15.39,"$1,326,690,254,523",-3.58
2026-03-26,"$71,307","$71,372","$68,240","$69,926","$68,786",-3.54,"$10,722,651,995",11.93,"$1,375,931,262,523",-3.56
2026-03-25,"$70,526","$71,912","$70,416","$71,044","$71,322",1.13,"$9,579,426,428",-14.20,"$1,426,660,899,625",1.09
2026-03-24,"$70,778","$71,285","$68,984","$70,400","$70,554",-0.317,"$11,164,883,270",-25.24,"$1,411,294,062,053",-0.312
2026-03-23,"$67,847","$71,604","$67,600","$69,457","$70,775",4.32,"$14,934,086,989",72.19,"$1,415,714,969,126",4.23
2026-03-22,"$69,263","$69,456","$67,570","$68,549","$67,906",-1.96,"$8,672,859,483",68.40,"$1,358,322,420,155",-2.14
2026-03-21,"$70,535","$70,949","$69,391","$70,067","$69,391",-1.62,"$5,150,024,129",-51.75,"$1,388,039,857,494",-1.62
2026-03-20,"$69,922","$71,231","$69,560","$70,312","$70,534",0.876,"$10,673,115,234",-13.66,"$1,410,901,432,550",0.928
2026-03-19,"$71,267","$71,510","$68,996","$70,414","$69,886",-1.94,"$12,361,046,934",-0.711,"$1,397,928,216,778",-1.99
2026-03-18,"$73,950","$74,565","$70,710","$72,632","$71,304",-3.58,"$12,449,539,568",-11.96,"$1,426,297,410,720",-3.61
2026-03-17,"$74,829","$75,876","$73,632","$74,578","$73,977",-1.14,"$14,140,467,823",-11.14,"$1,479,755,926,845",-1.13
2026-03-16,"$72,845","$74,850","$72,413","$73,733","$74,823",2.72,"$15,913,429,651",98.31,"$1,496,678,780,947",2.95
2026-03-15,"$71,208","$73,008","$70,914","$71,953","$72,681",2.07,"$8,024,544,662",30.86,"$1,453,810,885,371",2.12
2026-03-14,"$70,951","$71,284","$70,439","$70,962","$71,172",0.311,"$6,131,926,323",,"$1,423,597,839,829",
